date	AAPL	SPY	TSLA	PEP	PYPL	PARA
2023-09-29	169.549286	417.865631	250.220001	158.211288	58.459999	12.517363
2023-10-31	169.113571	408.794403	200.839996	152.459503	51.799999	10.557281
2023-11-30	188.355331	446.135193	240.080002	158.335693	57.610001	13.943760
2023-12-29	190.913651	466.503632	248.479996	159.794006	61.410000	14.397066
2024-01-31	182.851898	473.933411	187.289993	158.561493	61.349998	14.202380
2024-02-29	179.461273	498.666534	201.880005	156.747314	60.340000	10.746694
2024-03-28	170.257355	514.973877	175.789993	165.914764	66.989998	11.506557
2024-04-30	169.115570	494.210297	183.279999	166.767990	67.919998	11.135062
2024-05-31	191.138153	519.207336	178.080002	163.914429	62.990002	11.643423
2024-06-28	209.401932	537.525024	197.880005	157.591522	58.029999	10.207630
2024-07-31	220.795654	544.033997	232.070007	164.987137	65.779999	11.219551
2024-08-30	227.939178	556.745605	214.110001	165.187805	72.430000	10.286225
2024-09-30	231.920654	568.439880	261.630005	163.720993	78.029999	10.483182
2024-10-31	224.863480	563.367432	249.850006	159.898743	79.300003	10.799059
2024-11-29	236.490479	596.962952	345.160004	157.366623	86.769997	10.710219
2024-12-31	249.534180	582.599915	403.839996	147.647110	85.349998	10.371463
2025-01-31	235.165192	598.246399	404.600006	146.316864	88.580002	10.787908
2025-02-28	241.249481	590.651794	292.980011	149.016205	71.050003	11.263844
2025-03-31	221.587616	557.741150	259.160004	146.875854	65.250000	11.909705
2025-04-30	211.981125	552.905457	282.160004	132.809311	65.839996	11.690630
2025-05-30	200.622314	587.652771	346.459991	128.763702	70.279999	12.049117
2025-06-30	204.937408	617.849976	317.660004	130.760849	74.320000	12.900000
2025-07-31	207.334702	632.080017	308.269989	136.583893	68.760002	12.570000
2025-08-29	232.139999	645.049988	333.869995	147.209946	70.190002	14.700000
